id,code,name,zip_code,country_id:id
state_mk_101,101,Арачиново,1045,base.mk
state_mk_102,102,Берово,2330,base.mk
state_mk_103,103,Битола,7000,base.mk
state_mk_104,104,Богданци,1484,base.mk
state_mk_105,105,Боговиње,1220,base.mk
state_mk_106,106,Босилово,2431,base.mk
state_mk_107,107,Брвеница,1216,base.mk
state_mk_108,108,Валандово,2460,base.mk
state_mk_109,109,Василево,2411,base.mk
state_mk_110,110,Вевчани,6335,base.mk
state_mk_111,111,Велес,1400,base.mk
state_mk_112,112,Виница,2310,base.mk
state_mk_114,114,Врапчиште,1238,base.mk
state_mk_115,115,Гевгелија,1480,base.mk
state_mk_116,116,Гостивар,1230,base.mk
state_mk_117,117,Градско,1420,base.mk
state_mk_118,118,Дебар,1250,base.mk
state_mk_119,119,Дебарца,6340,base.mk
state_mk_120,120,Делчево,2320,base.mk
state_mk_121,121,Демир Капија,1442,base.mk
state_mk_122,122,Демир Хисар,7240,base.mk
state_mk_123,123,Дојран,1487,base.mk
state_mk_124,124,Долнени,7504,base.mk
state_mk_126,126,Желино,1226,base.mk
state_mk_128,128,Зелениково,1053,base.mk
state_mk_129,129,Зрновци,2305,base.mk
state_mk_130,130,Илинден,1041,base.mk
state_mk_131,131,Јегуновце,1215,base.mk
state_mk_132,132,Кавадарци,1430,base.mk
state_mk_133,133,Карбинци,2207,base.mk
state_mk_134,134,Кичево,6250,base.mk
state_mk_135,135,Конче,2424,base.mk
state_mk_136,136,Кочани,2300,base.mk
state_mk_137,137,Кратово,1360,base.mk
state_mk_138,138,Крива Паланка,1330,base.mk
state_mk_139,139,Кривогаштани,7524,base.mk
state_mk_140,140,Крушево,7550,base.mk
state_mk_141,141,Куманово,1300,base.mk
state_mk_142,142,Липково,1307,base.mk
state_mk_143,143,Лозово,1445,base.mk
state_mk_144,144,Маврово и Ростуше,1256,base.mk
state_mk_145,145,Македоснки Брод,6530,base.mk
state_mk_146,146,Македонска Каменица,2304,base.mk
state_mk_147,147,Могила,7216,base.mk
state_mk_148,148,Неготино,1440,base.mk
state_mk_149,149,Новаци,7211,base.mk
state_mk_150,150,Ново Село,6254,base.mk
state_mk_152,152,Охрид,6000,base.mk
state_mk_153,153,Петровец,1043,base.mk
state_mk_154,154,Пехчево,2326,base.mk
state_mk_155,155,Пласница,6539,base.mk
state_mk_156,156,Прилеп,7500,base.mk
state_mk_157,157,Пробиштип,2210,base.mk
state_mk_158,158,Радовиш,2420,base.mk
state_mk_159,159,Ранковце,1316,base.mk
state_mk_160,160,Ресен,7310,base.mk
state_mk_161,161,Росоман,1422,base.mk
state_mk_162,162,Старо Нагоричане,1303,base.mk
state_mk_163,163,Свети Николе,2220,base.mk
state_mk_164,164,Сопиште,1054,base.mk
state_mk_165,165,Струга,6330,base.mk
state_mk_166,166,Струмица,2400,base.mk
state_mk_167,167,Студеничани,1052,base.mk
state_mk_168,168,Теарце,1224,base.mk
state_mk_169,169,Тетово,1200,base.mk
state_mk_170,170,Центар Жупа,1258,base.mk
state_mk_171,171,Чашка,1413,base.mk
state_mk_172,172,Чешиново и Облешево,2333,base.mk
state_mk_173,173,Чучер Сандево,1011,base.mk
state_mk_174,174,Штип,2000,base.mk
state_mk_175,175,Аеродром,1045,base.mk
state_mk_176,176,Бутел,,base.mk
state_mk_177,177,Гази Баба,1047,base.mk
state_mk_178,178,Ѓорче Петров,1060,base.mk
state_mk_179,179,Карпош,1040,base.mk
state_mk_180,180,Кисела Вода,,base.mk
state_mk_181,181,Сарај,1062,base.mk
state_mk_182,182,Центар,1003,base.mk
state_mk_183,183,Чаир,,base.mk
state_mk_184,184,Шуто Оризари,,base.mk
state_mk_185,185,Скопје,1000,base.mk
